movie_title,tomatometer_rating,audience_rating,rating_discrepency
"A Bread Factory, Part Two: Walk with Me a While",100.0,0.0,100.0
Afghan Cycles,100.0,0.0,100.0
Anima,100.0,0.0,100.0
Artik,100.0,0.0,100.0
Aziz Ansari: Buried Alive,100.0,0.0,100.0
Aziz Ansari: Live At Madison Square Garden,100.0,0.0,100.0
Canary (Kanarie),100.0,0.0,100.0
Chelsea Peretti: One of the Greats,100.0,0.0,100.0
"Chris Rock: Kill the Messenger - London, New York, Johannesburg",100.0,0.0,100.0
Cold November,100.0,0.0,100.0
Cradle of Champions,100.0,0.0,100.0
Crown and Anchor,100.0,0.0,100.0
First to the Moon,100.0,0.0,100.0
Grass Is Greener,100.0,0.0,100.0
Heroin(e),100.0,0.0,100.0
In Search of Blind Joe Death: The Saga of John Fahey,100.0,0.0,100.0
Invader Zim: Enter the Florpus,100.0,0.0,100.0
Invisible Essence: The Little Prince,100.0,0.0,100.0
Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),100.0,0.0,100.0
Jim Gaffigan: Obsessed,100.0,0.0,100.0
John Waters: This Filthy World,100.0,0.0,100.0
Kevin Hart: Irresponsible,100.0,0.0,100.0
Khyi rgan (Old Dog),100.0,0.0,100.0
Le Deuxième souffle (Second Breath),100.0,0.0,100.0
Legend of the Mountain,100.0,0.0,100.0
Lone Wolf and Cub - Baby Cart at the River Styx (Kozure Ôkami: Sanzu no kawa no ubaguruma) (Shogun Assassin),100.0,0.0,100.0
Lustre,100.0,0.0,100.0
Maria Bamford: Old Baby,100.0,0.0,100.0
Master of Dark Shadows,100.0,0.0,100.0
"Michael Bolton's Big, Sexy Valentine's Day Special",100.0,0.0,100.0
Mike Birbiglia: My Girlfriend's Boyfriend,100.0,0.0,100.0
Moses and Aaron,100.0,0.0,100.0
Neal Brennan: 3 Mics,100.0,0.0,100.0
"Norm Macdonald: Hitler's Dog, Gossip & Trickery",100.0,0.0,100.0
Notes From The Field,100.0,0.0,100.0
One October,100.0,0.0,100.0
Rock Rubber 45s,100.0,0.0,100.0
Rodney King,100.0,0.0,100.0
Sound of Redemption: The Frank Morgan Story,100.0,0.0,100.0
Speak The Music: Robert Mann And The Mysteries Of Chamber Music,100.0,0.0,100.0
Strawberry Flavored Plastic,100.0,0.0,100.0
The Black Godfather,100.0,0.0,100.0
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,100.0,0.0,100.0
The Parting Glass,100.0,0.0,100.0
Todd Glass: Act Happy,100.0,0.0,100.0
Trevor Noah: Afraid Of The Dark,100.0,0.0,100.0
United We Fan,100.0,0.0,100.0
Venus,100.0,0.0,100.0
Wanda Sykes: Not Normal,100.0,0.0,100.0
Where's Daddy?,100.0,0.0,100.0
Homecoming: A Film by Beyoncé,98.0,0.0,98.0
Burden,97.0,0.0,97.0
The Edge of Democracy,96.0,0.0,96.0
96 Souls,0.0,95.0,95.0
Blaze,95.0,0.0,95.0
Blue Note Records: Beyond the Notes,95.0,0.0,95.0
A Charlie Brown Christmas,94.0,0.0,94.0
My Days of Mercy,94.0,0.0,94.0
The Newspaperman: The Life and Times of Ben Bradlee,94.0,0.0,94.0
The Death of Superman / Reign of the Supermen Double Feature,93.0,0.0,93.0
Blade Runner (The Final Cut),92.0,0.0,92.0
Hating Breitbart,0.0,92.0,92.0
High Flying Bird,92.0,0.0,92.0
Is That a Gun in Your Pocket?,0.0,92.0,92.0
Rolling Thunder Revue: A Bob Dylan Story By Martin Scorsese,92.0,0.0,92.0
Sacred,91.0,0.0,91.0
Silence,91.0,0.0,91.0
Billy Budd,90.0,0.0,90.0
Kiss Me Kate,90.0,0.0,90.0
Pirates of Silicon Valley,90.0,0.0,90.0
Splash,90.0,0.0,90.0
Working Girls,90.0,0.0,90.0
Elvis: That's the Way It Is,89.0,0.0,89.0
"Leaving Home, Coming Home: A Portrait of Robert Frank",89.0,0.0,89.0
Rory Scovel Tries Stand-up For The First Time,89.0,0.0,89.0
Tharlo,89.0,0.0,89.0
The After Party,0.0,89.0,89.0
A Whale of a Tale,88.0,0.0,88.0
Hummus! The Movie,88.0,0.0,88.0
Hybrid,88.0,0.0,88.0
Ladies in Black,88.0,0.0,88.0
Not Yet Begun to Fight,88.0,0.0,88.0
Santa & Andrés,88.0,0.0,88.0
Altina,86.0,0.0,86.0
Dear Jesse,86.0,0.0,86.0
Home,0.0,86.0,86.0
Home Page,86.0,0.0,86.0
Mars,86.0,0.0,86.0
Outside the Law,86.0,0.0,86.0
Patton Oswalt: Talking for Clapping,86.0,0.0,86.0
Wanda Sykes: I'ma Be Me,86.0,0.0,86.0
Wonders Are Many: The Making of Doctor Atomic,85.0,0.0,85.0
Zamani barayé masti asbha (A Time for Drunken Horses)(Intoxication for Horses),85.0,0.0,85.0
Fall,0.0,84.0,84.0
Eddie Murphy Delirious,83.0,0.0,83.0
Everybody Knows... Elizabeth Murray,100.0,17.0,83.0
Four Hands (Die Vierhändige),83.0,0.0,83.0
Inside Lehman Brothers,83.0,0.0,83.0
Jim Gaffigan: Cinco,83.0,0.0,83.0
Knock Down the House,100.0,17.0,83.0
No Alternative,83.0,0.0,83.0
Northern Light,83.0,0.0,83.0
Tracy Morgan: Staying Alive,83.0,0.0,83.0
Who Would You Take to a Deserted Island? (A quién te llevarías a una isla desierta?),83.0,0.0,83.0
Will You Still Love Me Tomorrow?,83.0,0.0,83.0
Girl on the Third Floor,82.0,0.0,82.0
In the Intense Now (No Intenso Agora),82.0,0.0,82.0
Ruin Me,82.0,0.0,82.0
Socrates,82.0,0.0,82.0
The Son (El hijo),82.0,0.0,82.0
W. Kamau Bell: Private School Negro,82.0,0.0,82.0
Mine,81.0,0.0,81.0
Sparkle,10.0,91.0,81.0
A Violent Separation,10.0,90.0,80.0
All Relative,10.0,90.0,80.0
Anthony Jeselnik: Fire in the Maternity Ward,80.0,0.0,80.0
Beijing Taxi,80.0,0.0,80.0
BookWars,80.0,0.0,80.0
Greener Grass,80.0,0.0,80.0
I'll See You In My Dreams,80.0,0.0,80.0
Luciferina,80.0,0.0,80.0
More Than The Rainbow,80.0,0.0,80.0
Mysteries Of The Jesus Prayer,20.0,100.0,80.0
Our Blood Is Wine,80.0,0.0,80.0
Patton Oswalt: Tragedy Plus Comedy Equals Time,80.0,0.0,80.0
Pressing On: The Letterpress Film,80.0,0.0,80.0
Seventeen (Diecisiete),80.0,0.0,80.0
St. Bernard Syndicate,80.0,0.0,80.0
The Hunt,80.0,0.0,80.0
The Maestro,80.0,0.0,80.0
The Reckoning: Hollywood's Worst Kept Secret,80.0,0.0,80.0
Vengeance Valley,100.0,20.0,80.0
We Are the Heat,80.0,0.0,80.0
In God's Hands,0.0,79.0,79.0
Rainbow Brite and the Star Stealer,0.0,79.0,79.0
The Music of Silence,0.0,79.0,79.0
Catching Out,78.0,0.0,78.0
Cover,0.0,78.0,78.0
Hannah Gadsby: Nanette,100.0,22.0,78.0
Ilya and Emilia Kabakov: Enter Here,78.0,0.0,78.0
Mum & Dad,78.0,0.0,78.0
Romeo and Juliet,78.0,0.0,78.0
Sparkle,78.0,0.0,78.0
Jesus,77.0,0.0,77.0
Traffic Stop,100.0,23.0,77.0
Yosemite,77.0,0.0,77.0
America: Imagine the World Without Her,8.0,84.0,76.0
Daisy Miller,100.0,24.0,76.0
Hillary's America: The Secret History of the Democratic Party,4.0,80.0,76.0
Out Cold,8.0,84.0,76.0
Playback,0.0,76.0,76.0
Alone (Solo),75.0,0.0,75.0
Amy Schumer Growing,79.0,4.0,75.0
André Gregory: Before and After Dinner,75.0,0.0,75.0
Belly,13.0,88.0,75.0
Death & Texas,75.0,0.0,75.0
In Search of Haydn,75.0,0.0,75.0
Longing,75.0,0.0,75.0
Romeo & Juliet in Yiddish,75.0,0.0,75.0
Stonewall,10.0,85.0,75.0
The Field Guide to Evil,75.0,0.0,75.0
The Incomparable Rose Hartman,75.0,0.0,75.0
The Nine Muses,75.0,0.0,75.0
An Acceptable Loss,13.0,87.0,74.0
Live At The Foxes Den,0.0,74.0,74.0
Modigliani,4.0,78.0,74.0
State Property,0.0,74.0,74.0
Breaking & Exiting,0.0,73.0,73.0
In the Pit,73.0,0.0,73.0
Johnstown Flood,73.0,0.0,73.0
Lost & Found,73.0,0.0,73.0
Magician: The Astonishing Life and Work of Orson Welles,73.0,0.0,73.0
The Bastards' Fig Tree (La higuera de los bastardos),73.0,0.0,73.0
The Last Survivors (The Well),73.0,0.0,73.0
Angel Rodriguez,83.0,11.0,72.0
Facing the Giants,13.0,85.0,72.0
Shottas,19.0,91.0,72.0
The Brooklyn Banker,20.0,92.0,72.0
A Low Down Dirty Shame,0.0,71.0,71.0
Diary of a Mad Black Woman,16.0,87.0,71.0
Grind,8.0,79.0,71.0
Hamlet,71.0,0.0,71.0
Hangman,100.0,29.0,71.0
Meet The Mormons,18.0,89.0,71.0
Narcissister Organ Player,71.0,0.0,71.0
Romeo And Juliet (Broadway Hd),71.0,0.0,71.0
Sunset Park,13.0,84.0,71.0
The Last Photograph,71.0,0.0,71.0
Touching Wild Horses,0.0,71.0,71.0
Warriors of the Rainbow: Seediq Bale,71.0,0.0,71.0
Adopt a Highway,70.0,0.0,70.0
G.I. Blues,0.0,70.0,70.0
The Kill Team,70.0,0.0,70.0
Autumn Lights,14.0,83.0,69.0
Fetching Cody,0.0,69.0,69.0
Grandma's Boy,16.0,85.0,69.0
Last Ounce of Courage,0.0,69.0,69.0
Madea Goes to Jail,27.0,96.0,69.0
Madea's Family Reunion,25.0,94.0,69.0
Rise of the Footsoldier,14.0,83.0,69.0
Rustlers' Rhapsody,17.0,86.0,69.0
Something to Sing About,100.0,31.0,69.0
State Property 2,14.0,83.0,69.0
The Boondock Saints,22.0,91.0,69.0
The Quest of Alain Ducasse (La Quête d'Alain Ducasse),69.0,0.0,69.0
The Vanishing of Sidney Hall,11.0,80.0,69.0
Chopsticks,20.0,88.0,68.0
Drop Dead Fred,9.0,77.0,68.0
House Party 3,0.0,68.0,68.0
VooDoo,29.0,97.0,68.0
American Dresser,0.0,67.0,67.0
BLAST!,67.0,0.0,67.0
Ballad of Bering Strait,67.0,0.0,67.0
Charly (A Heartbeat Away),20.0,87.0,67.0
Dream a Little Dream,0.0,67.0,67.0
Fred Armisen: Standup For Drummers,67.0,0.0,67.0
Golden Boy,67.0,0.0,67.0
How Sweet It Is,0.0,67.0,67.0
I Hate Kids,22.0,89.0,67.0
Miss Virginia,67.0,0.0,67.0
One Bad Cat: The Reverend Albert Wagner Story,67.0,0.0,67.0
River's Edge (Ribazu ejji),67.0,0.0,67.0
Solitude,67.0,0.0,67.0
Stations of the Elevated,100.0,33.0,67.0
The Quiet One,67.0,0.0,67.0
The Seagull,67.0,0.0,67.0
We the Parents,67.0,0.0,67.0
Wrinkles the Clown,67.0,0.0,67.0
Alien Raiders,100.0,34.0,66.0
Blood Brother,17.0,83.0,66.0
Lyle,100.0,34.0,66.0
My Life's In Turnaround,86.0,20.0,66.0
Salvage,86.0,20.0,66.0
Sgt. Will Gardner,22.0,88.0,66.0
The Final Wish,89.0,23.0,66.0
The Professor,10.0,76.0,66.0
The Snow Queen,0.0,66.0,66.0
Third World Cop,21.0,87.0,66.0
A Thin Line Between Love and Hate,12.0,77.0,65.0
American Anthem,0.0,65.0,65.0
Chris Rock: Tamborine,100.0,35.0,65.0
Civil Brand,16.0,81.0,65.0
Experiment Perilous,100.0,35.0,65.0
Foolish,0.0,65.0,65.0
Frankenstein,100.0,35.0,65.0
Little Men,14.0,79.0,65.0
Merci Docteur Rey,0.0,65.0,65.0
Old Fashioned,19.0,84.0,65.0
See You Yesterday,95.0,30.0,65.0
The Great Gilly Hopkins,65.0,0.0,65.0
Which Way Is Up?,18.0,83.0,65.0
Bunt. Delo Litvinenko (Poisoned by Polonium: The Litvinenko File) (Rebellion: The Litvinenko Case),64.0,0.0,64.0
Dave Chappelle: Sticks & Stones,35.0,99.0,64.0
Dilili in Paris (Dilili à Paris),64.0,0.0,64.0
Distorted,18.0,82.0,64.0
Estranged,100.0,36.0,64.0
Fred Won't Move Out,71.0,7.0,64.0
Lou Andreas-Salomé: The Audacity to Be Free,64.0,0.0,64.0
"One Cut, One Life",100.0,36.0,64.0
Penance,80.0,16.0,64.0
Sex Addict,100.0,36.0,64.0
Supremacy,20.0,84.0,64.0
The Condemned,0.0,64.0,64.0
8 Seconds,31.0,94.0,63.0
Casting About,63.0,0.0,63.0
Danger Close,20.0,83.0,63.0
Footnotes (Sur quel pied danser),63.0,0.0,63.0
Ghostlight,63.0,0.0,63.0
God's Not Dead,13.0,76.0,63.0
Graduation,0.0,63.0,63.0
Helicopter Mom,17.0,80.0,63.0
House of D,10.0,73.0,63.0
La tigre e la neve (The Tiger and the Snow),21.0,84.0,63.0
Meet the Blacks,10.0,73.0,63.0
Passing Poston,63.0,0.0,63.0
Sidekick,100.0,37.0,63.0
Step Up,20.0,83.0,63.0
Strange Fits of Passion,63.0,0.0,63.0
The Blood of Heroes,13.0,76.0,63.0
The Lion of Judah,0.0,63.0,63.0
The Red Pill,29.0,92.0,63.0
The Sound of Silence,63.0,0.0,63.0
Whore,0.0,63.0,63.0
Babylon,100.0,38.0,62.0
Beer for My Horses,0.0,62.0,62.0
Bluebeard,100.0,38.0,62.0
Echoes of Innocence,0.0,62.0,62.0
Hello Herman,11.0,73.0,62.0
I'm Not Ashamed,20.0,82.0,62.0
Living Among Us,14.0,76.0,62.0
My Way,20.0,82.0,62.0
Paradise Hills,62.0,0.0,62.0
Petits Frères,62.0,0.0,62.0
Shaft,32.0,94.0,62.0
Shelley,100.0,38.0,62.0
Slappy and the Stinkers,0.0,62.0,62.0
The Life of David Gale,19.0,81.0,62.0
The Man from Planet X,100.0,38.0,62.0
American Pie 5: The Naked Mile,0.0,61.0,61.0
Because I Said So,4.0,65.0,61.0
Blood Ransom,20.0,81.0,61.0
Dirty Love,7.0,68.0,61.0
Going the Distance,0.0,61.0,61.0
Last of the Red Hot Lovers,20.0,81.0,61.0
My Uncle Rafael,20.0,81.0,61.0
No Manches Frida,13.0,74.0,61.0
Not Cool,14.0,75.0,61.0
Sweet November,15.0,76.0,61.0
Wirey Spindell,24.0,85.0,61.0
Backgammon,0.0,60.0,60.0
Brad Paisley's Comedy Rodeo,60.0,0.0,60.0
Chain of Death,60.0,0.0,60.0
Change in the Air,11.0,71.0,60.0
Conversations With God,7.0,67.0,60.0
Die Zärtlichkeit der Wölfe (The Tenderness of Wolves),60.0,0.0,60.0
GTFO: Get the F&#% Out,100.0,40.0,60.0
Hi-Life,83.0,23.0,60.0
La Novia Ensangrentada (The Blood Spattered Bride) (Blood Castle),100.0,40.0,60.0
Mission Park,0.0,60.0,60.0
New Money,60.0,0.0,60.0
Peppermint,12.0,72.0,60.0
Saving Zoë,0.0,60.0,60.0
Stray Bullets,75.0,15.0,60.0
The Collector,60.0,0.0,60.0
The Five Heartbeats,35.0,95.0,60.0
The Frontier,60.0,0.0,60.0
The Man Who Shook the Hand of Vicente Fernandez,60.0,0.0,60.0
The Pest,8.0,68.0,60.0
Close Range,86.0,27.0,59.0
Fallen,7.0,66.0,59.0
God Bless the Broken Road,18.0,77.0,59.0
"Hale County This Morning, This Evening",97.0,38.0,59.0
Harlem Nights,21.0,80.0,59.0
Jenny Slate: Stage Fright,100.0,41.0,59.0
Nate and Hayes,0.0,59.0,59.0
Night of the Living Deb,88.0,29.0,59.0
The Inhabitants,71.0,12.0,59.0
A Night at the Roxbury,11.0,69.0,58.0
"After Fall, Winter",11.0,69.0,58.0
Alice,22.0,80.0,58.0
All I Want for Christmas,0.0,58.0,58.0
Await Further Instructions,84.0,26.0,58.0
Beyond Borders,14.0,72.0,58.0
Blood Honey,14.0,72.0,58.0
Do You Believe?,25.0,83.0,58.0
Dying Laughing,89.0,31.0,58.0
Fast Company,88.0,30.0,58.0
I'm In Love With A Church Girl,6.0,64.0,58.0
Love Thy Nature,30.0,88.0,58.0
Maniac,89.0,31.0,58.0
